Date,GDP
2000-01-01,101.451842429931
2000-02-01,101.516006036861
2000-03-01,101.593712221198
2000-04-01,101.668687921153
2000-05-01,101.714968247452
2000-06-01,101.712154561985
2000-07-01,101.662769841857
2000-08-01,101.578564408459
2000-09-01,101.470296815544
2000-10-01,101.340246036504
2000-11-01,101.186806449893
2000-12-01,101.010770730196
2001-01-01,100.8233629813
2001-02-01,100.637384194238
2001-03-01,100.459452306049
2001-04-01,100.282408362086
2001-05-01,100.095124190758
2001-06-01,99.892250943369
2001-07-01,99.6846808994364
2001-08-01,99.4909140599776
2001-09-01,99.3290093273607
2001-10-01,99.207792093389
2001-11-01,99.1298356098625
2001-12-01,99.0915383370206
2002-01-01,99.0801124541821
2002-02-01,99.0798508621245
2002-03-01,99.0764440792131
2002-04-01,99.0604976787731
2002-05-01,99.0260177080969
2002-06-01,98.9697916850856
2002-07-01,98.8920818563292
2002-08-01,98.7956907894929
2002-09-01,98.6865533953076
2002-10-01,98.5756466825906
2002-11-01,98.4760419365307
2002-12-01,98.4001217899201
2003-01-01,98.3560224940664
2003-02-01,98.3503666518891
2003-03-01,98.3886718985732
2003-04-01,98.4729616403935
2003-05-01,98.602315145249
2003-06-01,98.7700268058847
2003-07-01,98.9574056829937
2003-08-01,99.141626105532
2003-09-01,99.3021228208171
2003-10-01,99.4271919375176
2003-11-01,99.5117180532466
2003-12-01,99.5573534600219
2004-01-01,99.5755220673413
2004-02-01,99.5809861597817
2004-03-01,99.5873954899532
2004-04-01,99.6037991222689
2004-05-01,99.6358167400478
2004-06-01,99.6861238793254
2004-07-01,99.7538480248531
2004-08-01,99.8365136172671
2004-09-01,99.9307735235555
2004-10-01,100.032115118064
2004-11-01,100.135113722618
2004-12-01,100.233241894831
2005-01-01,100.318635286413
2005-02-01,100.384645650624
2005-03-01,100.429403455293
2005-04-01,100.460862361584
2005-05-01,100.490523272903
2005-06-01,100.528260848273
2005-07-01,100.577450326147
2005-08-01,100.638517448294
2005-09-01,100.711822109836
2005-10-01,100.799858367598
2005-11-01,100.90358726771
2005-12-01,101.017888510922
2006-01-01,101.126053345182
2006-02-01,101.208168212627
2006-03-01,101.250171463013
2006-04-01,101.254979561031
2006-05-01,101.234360036623
2006-06-01,101.203669587583
2006-07-01,101.178680334095
2006-08-01,101.171801816637
2006-09-01,101.188185253259
2006-10-01,101.220788295513
2006-11-01,101.258383314563
2006-12-01,101.292629822004
2007-01-01,101.325037427447
2007-02-01,101.361835459781
2007-03-01,101.409230168467
2007-04-01,101.468601221794
2007-05-01,101.538170731705
2007-06-01,101.614051397749
2007-07-01,101.690799879867
2007-08-01,101.761206382768
2007-09-01,101.816255006815
2007-10-01,101.845772188285
2007-11-01,101.841809091289
2007-12-01,101.804061201846
2008-01-01,101.747840958976
2008-02-01,101.690103448598
2008-03-01,101.637014152152
2008-04-01,101.57184542017
2008-05-01,101.465424872218
2008-06-01,101.287614980142
2008-07-01,101.021866131871
2008-08-01,100.663056550033
2008-09-01,100.221575807695
2008-10-01,99.7338106687588
2008-11-01,99.2452746769129
2008-12-01,98.7974998098018
2009-01-01,98.4155002691301
2009-02-01,98.1144354497991
2009-03-01,97.9014225167541
2009-04-01,97.7714369954071
2009-05-01,97.7164261571862
2009-06-01,97.728276776836
2009-07-01,97.7963107296705
2009-08-01,97.9099527905271
2009-09-01,98.0572596926842
2009-10-01,98.220041275699
2009-11-01,98.3810429765809
2009-12-01,98.5299328741528
2010-01-01,98.6693110135938
2010-02-01,98.807395299081
2010-03-01,98.9511704279549
2010-04-01,99.0994183400205
2010-05-01,99.2459598979122
2010-06-01,99.3824079223716
2010-07-01,99.5008769106207
2010-08-01,99.5936843810427
2010-09-01,99.6541613461476
2010-10-01,99.6791208981651
2010-11-01,99.6687938450234
2010-12-01,99.6291082843663
2011-01-01,99.576283098789
2011-02-01,99.5283355093861
2011-03-01,99.4974030802293
2011-04-01,99.4815851915021
2011-05-01,99.4747106565224
2011-06-01,99.4747896582356
2011-07-01,99.4916208988783
2011-08-01,99.5388081524124
2011-09-01,99.6244204713164
2011-10-01,99.739258260101
2011-11-01,99.8661226501688
2011-12-01,99.9867743364683
2012-01-01,100.087871992198
2012-02-01,100.159814481296
2012-03-01,100.196800261819
2012-04-01,100.198784735305
2012-05-01,100.168678263847
2012-06-01,100.111874931921
2012-07-01,100.037913771977
2012-08-01,99.9579203003889
2012-09-01,99.8831569595367
2012-10-01,99.823893163981
2012-11-01,99.7873634283995
2012-12-01,99.7744941120522
2013-01-01,99.7748598167081
2013-02-01,99.7754353694759
2013-03-01,99.7682176440908
2013-04-01,99.7576661267375
2013-05-01,99.7532361077376
2013-06-01,99.7620388503861
2013-07-01,99.7809521353614
2013-08-01,99.8010378316284
2013-09-01,99.8110835420707
2013-10-01,99.8009290642122
2013-11-01,99.7658082489474
2013-12-01,99.7119875239195
2014-01-01,99.6640135700569
2014-02-01,99.6513889816756
2014-03-01,99.694850074123
2014-04-01,99.7900434814962
2014-05-01,99.9200990436884
2014-06-01,100.064245223101
2014-07-01,100.203805270771
2014-08-01,100.324775733948
2014-09-01,100.420646134973
2014-10-01,100.496435650991
2014-11-01,100.561246195588
2014-12-01,100.622146638592
2015-01-01,100.678769406346
2015-02-01,100.72609866522
2015-03-01,100.757495135408
2015-04-01,100.768320431605
2015-05-01,100.755231201493
2015-06-01,100.71689553641
2015-07-01,100.65636835398
2015-08-01,100.578877443944
2015-09-01,100.491179071278
2015-10-01,100.402113286737
2015-11-01,100.31977426828
2015-12-01,100.248796565066
2016-01-01,100.187170219434
