Date,GDP
2000-01-01,100.905788592572
2000-02-01,100.885350073754
2000-03-01,100.825290828309
2000-04-01,100.731761986516
2000-05-01,100.610625348526
2000-06-01,100.468617444108
2000-07-01,100.316531325943
2000-08-01,100.167896739944
2000-09-01,100.038480977131
2000-10-01,99.9456502779052
2000-11-01,99.9040282592308
2000-12-01,99.9186425012486
2001-01-01,99.9744196521196
2001-02-01,100.048552401763
2001-03-01,100.119825643267
2001-04-01,100.176628195389
2001-05-01,100.212982688907
2001-06-01,100.225614802705
2001-07-01,100.212490978108
2001-08-01,100.172366634365
2001-09-01,100.106193980867
2001-10-01,100.020468213782
2001-11-01,99.923542260474
2001-12-01,99.8234109564034
2002-01-01,99.7263713138147
2002-02-01,99.6375241515077
2002-03-01,99.5611043797118
2002-04-01,99.5002724490875
2002-05-01,99.4574439791944
2002-06-01,99.4335397419334
2002-07-01,99.4259814715188
2002-08-01,99.4308234238986
2002-09-01,99.4437199935494
2002-10-01,99.4600194978364
2002-11-01,99.4764415123374
2002-12-01,99.4925219138258
2003-01-01,99.5120623395338
2003-02-01,99.5406580802178
2003-03-01,99.583013336478
2003-04-01,99.6396409778673
2003-05-01,99.7084443687397
2003-06-01,99.7852887903032
2003-07-01,99.8637184665004
2003-08-01,99.9363002976003
2003-09-01,99.9958840232738
2003-10-01,100.037317948955
2003-11-01,100.056412534837
2003-12-01,100.050258277007
2004-01-01,100.01920186088
2004-02-01,99.9644645495014
2004-03-01,99.8876394695491
2004-04-01,99.7919854227888
2004-05-01,99.6815295183508
2004-06-01,99.5616459832004
2004-07-01,99.4408211228081
2004-08-01,99.329202278128
2004-09-01,99.23738605336
2004-10-01,99.1747248685927
2004-11-01,99.1498270885343
2004-12-01,99.1691244513911
2005-01-01,99.232881114673
2005-02-01,99.3389294090693
2005-03-01,99.4833255356434
2005-04-01,99.6580901087169
2005-05-01,99.854963449597
2005-06-01,100.06712802089
2005-07-01,100.289499719842
2005-08-01,100.516182667957
2005-09-01,100.737332132379
2005-10-01,100.935859638386
2005-11-01,101.092731027947
2005-12-01,101.194145711464
2006-01-01,101.241925720674
2006-02-01,101.244831341054
2006-03-01,101.213907990334
2006-04-01,101.16131835334
2006-05-01,101.098755459011
2006-06-01,101.037730463649
2006-07-01,100.990897378135
2006-08-01,100.970413471741
2006-09-01,100.985620761934
2006-10-01,101.039160169513
2006-11-01,101.129767498395
2006-12-01,101.252600323771
2007-01-01,101.397188227878
2007-02-01,101.552326161061
2007-03-01,101.709731810437
2007-04-01,101.867279751803
2007-05-01,102.025796509683
2007-06-01,102.186135692025
2007-07-01,102.346473677399
2007-08-01,102.503254262637
2007-09-01,102.652443051014
2007-10-01,102.791346112361
2007-11-01,102.914726079113
2007-12-01,103.011932881215
2008-01-01,103.065442326005
2008-02-01,103.053212469641
2008-03-01,102.954510057751
2008-04-01,102.760707501204
2008-05-01,102.468385476553
2008-06-01,102.079410307372
2008-07-01,101.608136348278
2008-08-01,101.073643911787
2008-09-01,100.498071705846
2008-10-01,99.9096089113148
2008-11-01,99.3383464337028
2008-12-01,98.8133133381072
2009-01-01,98.3585219557626
2009-02-01,97.9934578095804
2009-03-01,97.7285771426869
2009-04-01,97.5543540563432
2009-05-01,97.4547188227272
2009-06-01,97.4136895629221
2009-07-01,97.4165470003081
2009-08-01,97.4532403774443
2009-09-01,97.5185734396111
2009-10-01,97.6098660794752
2009-11-01,97.7271605151374
2009-12-01,97.8714152843079
2010-01-01,98.0406515788994
2010-02-01,98.2309637356601
2010-03-01,98.4355360649353
2010-04-01,98.6419243425069
2010-05-01,98.8357911740323
2010-06-01,99.0043391324156
2010-07-01,99.1404619113191
2010-08-01,99.2415929373089
2010-09-01,99.310627709611
2010-10-01,99.3591022440246
2010-11-01,99.3998665558223
2010-12-01,99.4409897560631
2011-01-01,99.4799909932996
2011-02-01,99.5097581159075
2011-03-01,99.5243838204691
2011-04-01,99.5254230928089
2011-05-01,99.5178735526101
2011-06-01,99.5068928737614
2011-07-01,99.4949057711986
2011-08-01,99.4831822156672
2011-09-01,99.4732545923614
2011-10-01,99.4680835703642
2011-11-01,99.4702645507655
2011-12-01,99.4796697717098
2012-01-01,99.4903381287044
2012-02-01,99.496284756293
2012-03-01,99.4969823222962
2012-04-01,99.5029430288507
2012-05-01,99.5262832380376
2012-06-01,99.5707111708866
2012-07-01,99.6200373647192
2012-08-01,99.6522593606908
2012-09-01,99.6530641422178
2012-10-01,99.630309110816
2012-11-01,99.6018096313928
2012-12-01,99.5846240858478
2013-01-01,99.584618507264
2013-02-01,99.6019385780198
2013-03-01,99.6350459428357
2013-04-01,99.6833258482768
2013-05-01,99.7461836415091
2013-06-01,99.8208894523299
2013-07-01,99.8992116019462
2013-08-01,99.9717783377517
2013-09-01,100.032030988047
2013-10-01,100.08044551687
2013-11-01,100.120870900705
2013-12-01,100.157586650725
2014-01-01,100.192820261929
2014-02-01,100.227209950009
2014-03-01,100.260273689135
2014-04-01,100.290845525365
2014-05-01,100.317543562049
2014-06-01,100.339338170254
2014-07-01,100.356326604461
2014-08-01,100.369187466085
2014-09-01,100.378926749275
2014-10-01,100.386874149894
2014-11-01,100.394580195269
2014-12-01,100.40381048881
2015-01-01,100.416532205674
2015-02-01,100.434144956325
2015-03-01,100.456449122748
2015-04-01,100.480255401498
2015-05-01,100.501686575372
2015-06-01,100.518364873816
2015-07-01,100.531767968488
2015-08-01,100.543994451033
2015-09-01,100.554787382023
2015-10-01,100.558671379227
2015-11-01,100.549041861165
2015-12-01,100.522767604118
